name,categories,address,city,postalCode,state,country,latitude,longitude,count
Burger King,"Carry-out food,Hot dog restaurants,American restaurants,Hamburger restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",5076 Highway 31,Calera,35040,AL,US,33.14812,-86.74937,453
Taco Bell,"Carry Out Food,Mexican Restaurants,Fast Food Restaurants,Restaurants",1740 Gunter Avenue,Guntersville,35976,AL,US,34.34134,-86.30938,529
Subway,"Delis And Delicatessens,Restaurant,Carry-out food,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Sandwich Place,Restaurants,Sandwich Shops",1407 6th Ave SE,Decatur,35601,AL,US,34.58542,-86.98080999999999,1219
Chick-fil-A,"Carry Out Food,Carry-out food,Caterers,American Restaurant,American restaurants,Fast Food Restaurants,Caterer,Chicken Restaurants,Restaurants,Restaurant,Barbecued poultry,Fast Food Restaurant,wich Place,Family style restaurants,Barbecue,Spare rib restaurants,Sandwiches,Catering,Chicken restaurants,Food and Beverage Services,Sandwich Shops",1809 Beltline Rd SW,Decatur,35601,AL,US,34.57165,-87.01462,100
Firehouse Subs,"Carry-out food,Caterers,Delicatessens,American restaurants,Fast Food Restaurants,Take Out Restaurants,Restaurants,Sandwich shops,wich Place,Sandwiches,Sandwich Place,Food,Sandwich Shops",2812 Spring Ave SW Ste G,Decatur,35603,AL,US,34.554959999999994,-86.99725,38
Jack's,"Breakfast Brunch and Lunch Restaurants,Fast Food Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Hamburgers and Hot Dogs,Restaurants",3041 Highway 20,Decatur,35601,AL,US,34.62039,-87.05281,57
Krystal,"Restaurant,Carry-out food,Hot dog restaurants,Hamburger restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",1817 6th Ave SE,Decatur,35601,AL,US,34.57586,-86.97610999999999,27
Jack's,"Breakfast Brunch and Lunch Restaurants,Carry-out food,Hot dog restaurants,American restaurants,Hamburger restaurants,Fast Food Restaurants,Burger Restaurants,Breakfast Brunch and Lunch Restaurants,,Chicken Restaurants,Restaurants,Hamburgers & Hot Dogs,Family style restaurants,Breakfast Brunch & Lunch Restaurants,,Hamburgers and Hot Dogs,Family Restaurants,Burger Joint and Fast Food Restaurant",1225 Beltline Rd SW,Decatur,35601,AL,US,34.56185,-87.00769,57
Dairy Queen,"Fast Food Restaurants,Dessert Restaurants,Hamburgers and Hot Dogs,Ice Cream and Frozen Desserts,Restaurants",1654 Beltline Rd SW,Decatur,35601,AL,US,34.567840000000004,-87.01125,329
Subway,"Delis And Delicatessens,Carry-out food,Delicatessens,Take Out Restaurants,Fast Food Restaurants,Sandwiches,Restaurants,Sandwich Shops",5 N Pointe Pkwy Ste F,Enterprise,36330,AL,US,31.33653,-85.85576,1219
Carl's Jr.,"Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",2627 S Oates Street,Dothan,36301,AL,US,31.189259999999997,-85.40099000000001,205
Burger King,"Fast Food,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",1165 Ross Clark Circle,Dothan,36301,AL,US,31.21224,-85.36109,453
Sonic Drive-In,"Fast Food Restaurants,American Restaurants,Chicken Restaurants,Hamburgers and Hot Dogs,Hot Dog Stands and Restaurants,Restaurants,Take Out Restaurants",1067 Ross Clark Circle,Dothan,36303,AL,US,31.21805,-85.35983,285
Moe's Southwest Grill,"American Restaurants,Carry-out food,Mexican Restaurants,Caterers,Tex-mex restaurants,Southwestern restaurants,Family style restaurants,American restaurants,Mexican restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants",1130 University Blvd Ste B1,Tuscaloosa,35401,AL,US,33.21097,-87.55278,73
Burger King,"Restaurant,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",3808 Mcfarland Blvd E,Tuscaloosa,35405,AL,US,33.17378,-87.52549,453
Moe's Southwest Grill,"Carry-out food,Caterers,Mexican Restaurants,Tex-mex restaurants,Southwestern restaurants,Mexican restaurants,American restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,American Restaurants,Family style restaurants,Catering",2312 Mcfarland Blvd E,Tuscaloosa,35404,AL,US,33.189409999999995,-87.52625,73
